Compound A,Compound B,Tanimoto ECFP4,Tanimoto ECFP6,ΔpIC50,ECFP6 robust,MMP validated,ECFP4 only,Hub involved
GMZVAQJVBFWSIS,CSIRJPXUQDSYOW,0.9375,0.8632478632478633,2.379361349272659,True,True,False,False
JHCOCDUNEWCPDJ,QGGNDXGZJHUSSA,0.927710843373494,0.8918918918918919,2.0283647829947684,True,True,False,False
CHMUAFHYTBEENP,IYTYCUFCBRYNSG,0.9156626506024096,0.816,2.029963223377443,True,True,False,False
KVTKINWILIQXMO,UDCDEKJNAMHBFH,0.9036144578313252,0.8839285714285714,2.803547458296612,True,True,False,True
LFPPSFVNBGNNPR,UGYGQLAFRCVHJW,0.8941176470588236,0.8620689655172413,2.200134639472375,True,True,False,False
TZPKGQDKWPGOGH,RAVBZQAQTVGKIV,0.8928571428571429,0.8389830508474576,2.127676363898374,True,True,False,True
KVTKINWILIQXMO,DVCKJOQIVOGXEI,0.8823529411764706,0.868421052631579,2.803547458296612,True,True,False,True
KKEPYHNMZDFGFZ,UDCDEKJNAMHBFH,0.8823529411764706,0.853448275862069,2.180456064458131,True,True,False,True
DFQZFXZWGBIVAD,MKJUETQMTPGHGC,0.8780487804878049,0.8275862068965517,2.134698573897456,True,True,False,False
IQBSSKFAACESCW,UDCDEKJNAMHBFH,0.872093023255814,0.853448275862069,2.441291429466834,True,True,False,True
WNVSDECEZODUPK,SMADULGDNOCLOP,0.872093023255814,0.8166666666666667,2.091613673198108,True,True,False,True
WRHOMFJKHSWYJS,RAVBZQAQTVGKIV,0.8705882352941177,0.8151260504201681,2.278944039229022,True,True,False,True
RKLNNGQJROHZOF,UGYGQLAFRCVHJW,0.8674698795180723,0.8103448275862069,2.035324390826383,True,True,False,False
BCHLSCBZCOCRKN,NFPBHTVGQPXGFY,0.8651685393258427,0.8583333333333333,2.215284980113968,True,True,False,False
YDUZIQDWBSFXRB,XFXVYNYRKQIMDF,0.8620689655172413,0.8536585365853658,2.0133639615579817,True,True,False,False
SCMQIRWIRWDRLV,UDCDEKJNAMHBFH,0.8620689655172413,0.8181818181818182,2.4156687756324686,True,True,False,True
KKEPYHNMZDFGFZ,DVCKJOQIVOGXEI,0.8620689655172413,0.8389830508474576,2.180456064458131,True,True,False,True
BGBBWIFRUCEWMS,UDCDEKJNAMHBFH,0.8620689655172413,0.8389830508474576,2.1992829217176144,True,True,False,True
WQNCRDJMLQSQCQ,RAVBZQAQTVGKIV,0.8620689655172413,0.825,2.0359059905427275,True,True,False,True
XMLNOTFMOBYSBU,UDCDEKJNAMHBFH,0.8571428571428571,0.8103448275862069,2.6126101736612704,True,True,False,True
VBPFHLZFZVJNHB,DQYBRNLGMWOIAD,0.8539325842696629,0.8571428571428571,2.0,True,False,False,False
YDUZIQDWBSFXRB,KREMBNXLYXOOPX,0.8536585365853658,0.8448275862068966,2.615423952885944,True,True,False,False
IQBSSKFAACESCW,DVCKJOQIVOGXEI,0.8522727272727273,0.8389830508474576,2.441291429466834,True,True,False,True
KPMPCLPZOHGVGR,ACDAFJAJTHFIQA,0.8488372093023255,0.7583333333333333,2.0212816137651317,False,False,True,False
WIELPYALLBTMLM,YDUZIQDWBSFXRB,0.8488372093023255,0.7983870967741935,2.3679989420458973,False,True,False,False
RKLNNGQJROHZOF,RAVBZQAQTVGKIV,0.8470588235294118,0.7899159663865546,2.3804016799877994,False,True,False,True
IOWPZLZDXNUXKG,SMADULGDNOCLOP,0.8444444444444444,0.792,2.178763848917008,False,True,False,True
SMADULGDNOCLOP,UNGYPWLQAZQTIO,0.8426966292134831,0.7903225806451613,2.1187659192417216,False,True,False,True
BGBBWIFRUCEWMS,DVCKJOQIVOGXEI,0.8426966292134831,0.825,2.1992829217176144,True,True,False,True
SCMQIRWIRWDRLV,DVCKJOQIVOGXEI,0.8426966292134831,0.8048780487804879,2.4156687756324686,True,True,False,True
HCVYAIQSYNFWFL,SMADULGDNOCLOP,0.8409090909090909,0.7804878048780488,2.078648696033741,False,False,True,True
FOBNOYWWYUHZGJ,RAVBZQAQTVGKIV,0.8390804597701149,0.7619047619047619,2.0680906739141287,False,True,False,True
KYBHPHAXGGSZPB,DVCKJOQIVOGXEI,0.8390804597701149,0.7916666666666666,2.565431095965801,False,True,False,True
XMLNOTFMOBYSBU,DVCKJOQIVOGXEI,0.8372093023255814,0.7966101694915254,2.6126101736612704,False,True,False,True
CQWFGKDJGWSGSK,UDCDEKJNAMHBFH,0.8372093023255814,0.7899159663865546,2.7520267336381936,False,True,False,True
KYBHPHAXGGSZPB,UDCDEKJNAMHBFH,0.8372093023255814,0.7899159663865546,2.565431095965801,False,True,False,True
VCWHGOPUEXSIAX,QGGNDXGZJHUSSA,0.8372093023255814,0.7931034482758621,2.234083206033368,False,False,True,False
VCWHGOPUEXSIAX,UDCDEKJNAMHBFH,0.8372093023255814,0.7966101694915254,2.924453038607469,False,True,False,True
DFQZFXZWGBIVAD,CQGWPDDLIRVUCO,0.8352941176470589,0.8220338983050848,2.4771212547196626,True,True,False,False
SMADULGDNOCLOP,LHCGWKJDICUCEG,0.8333333333333334,0.7903225806451613,2.287908318342076,False,True,False,True
LFPPSFVNBGNNPR,RAVBZQAQTVGKIV,0.8314606741573034,0.7950819672131147,2.5452119286337918,False,True,False,True
PPYDIYQJBOFKJJ,SMADULGDNOCLOP,0.8314606741573034,0.7741935483870968,2.2483997770584025,False,True,False,True
NXLODQYXKFLXEG,BCZPEKVMAZSURM,0.8297872340425532,0.7984496124031008,2.6311054016552653,False,True,False,False
SMADULGDNOCLOP,PJLWBJYOZPZIFT,0.8241758241758241,0.7777777777777778,2.1187659192417216,False,True,False,True
CIIHYWMLMWIWJT,IIWCKVZWLWDNIR,0.8241758241758241,0.7348484848484849,2.20682587603185,False,False,True,False
SMADULGDNOCLOP,NCNREJRBJOTJAJ,0.8241758241758241,0.7698412698412699,2.287908318342076,False,True,False,True
HDOICFJGKOAPSD,KREMBNXLYXOOPX,0.8235294117647058,0.8235294117647058,2.4031205211758184,True,True,False,False
BEYKKJIYABIPQW,PEMSBPMDBFZNNE,0.8235294117647058,0.717741935483871,2.8143634230380883,False,False,True,False
QUGDJUDQMAHGNQ,SMADULGDNOCLOP,0.8222222222222222,0.782258064516129,2.019063006049496,False,False,True,True
IGZIDTNYUHLUDZ,INTIBJQLLPOYKV,0.8202247191011236,0.8347107438016529,2.1300838110349947,True,True,False,False
XFNHWGBLXODYMR,QGGNDXGZJHUSSA,0.8202247191011236,0.768595041322314,2.0415204376174207,False,False,True,False
XQTXXZKKQQEXQJ,DCWONHKPZRUFJT,0.8192771084337349,0.782608695652174,2.465196897910188,False,True,False,False
XQTXXZKKQQEXQJ,VLAXNKASDDXGFU,0.8192771084337349,0.7758620689655172,2.2552725051033056,False,True,False,False
VCWHGOPUEXSIAX,DVCKJOQIVOGXEI,0.8181818181818182,0.7833333333333333,2.924453038607469,False,True,False,True
JHCOCDUNEWCPDJ,UDCDEKJNAMHBFH,0.8181818181818182,0.7983193277310925,2.718734615568869,False,True,False,True
SMADULGDNOCLOP,GDNYILLQBQRSAV,0.8181818181818182,0.7580645161290323,2.008067621748033,False,True,False,True
YUHZLTYIGGBRCL,SMADULGDNOCLOP,0.8181818181818182,0.7419354838709677,2.0419258890090006,False,True,False,True
BWTBYTFLDISNFI,SMADULGDNOCLOP,0.8181818181818182,0.7419354838709677,2.019063006049496,False,True,False,True
HDOICFJGKOAPSD,NVKZHLKRHQPQSA,0.8181818181818182,0.8064516129032258,2.227029262120137,True,True,False,False
CQWFGKDJGWSGSK,MZSMHDUPQNNXTK,0.8181818181818182,0.775,2.106135172785595,False,True,False,False
CQWFGKDJGWSGSK,DVCKJOQIVOGXEI,0.8181818181818182,0.7768595041322314,2.7520267336381936,False,True,False,True
UDCDEKJNAMHBFH,QYUCTVIPCCLAIZ,0.8181818181818182,0.8,2.785156151952302,True,True,False,True
CQJUFPGIBDGKLI,QGGNDXGZJHUSSA,0.8181818181818182,0.7583333333333333,2.038253295531825,False,True,False,False
GRQYJPFSBYFLKX,HMNKHISRBBCLDY,0.8170731707317073,0.7837837837837838,2.0036041242688256,False,True,False,False
SNGZWRFTYBDAGE,RAVBZQAQTVGKIV,0.8160919540229885,0.768595041322314,2.0059427671652843,False,True,False,True
PXOOLNADBLBDGP,OFIHEFDHYWXPRX,0.8160919540229885,0.6846153846153846,2.194960102352362,False,True,False,False
DFQZFXZWGBIVAD,KVMPLKNGFPPJEW,0.8160919540229885,0.7886178861788617,2.397940008672037,False,False,True,False
KVMPLKNGFPPJEW,DFQZFXZWGBIVAD,0.8160919540229885,0.7886178861788617,2.485985638199878,False,True,False,False
DFQZFXZWGBIVAD,KVMPLKNGFPPJEW,0.8160919540229885,0.7886178861788617,2.574031267727719,False,False,True,False
RXOPZPXJRLYRAF,RAVBZQAQTVGKIV,0.8160919540229885,0.768595041322314,2.154005302620722,False,False,True,True
SIQFSMORDDWOQU,LFNUUCVWQIPJNI,0.8117647058823529,0.7851239669421488,2.0036041242688256,False,False,True,False
FMNSJJUYYNOGSP,SMADULGDNOCLOP,0.8089887640449438,0.7580645161290323,2.078648696033741,False,False,True,True
CGWRMBYFKYPJSA,RAVBZQAQTVGKIV,0.8089887640449438,0.7480314960629921,2.2277915167816404,False,True,False,True
IUZXRGLRAITQQP,CZVROBPEHUHFMR,0.8068181818181818,0.782258064516129,2.4712917110589387,False,True,False,False
UTKKNIQJEBWKCD,RAVBZQAQTVGKIV,0.8068181818181818,0.7622950819672131,2.154005302620722,False,True,False,True
INTIBJQLLPOYKV,VRWQITKRSFXCGO,0.8068181818181818,0.7741935483870968,2.5676144427308447,False,True,False,False
SMADULGDNOCLOP,WRHOMFJKHSWYJS,0.8068181818181818,0.7419354838709677,2.229916371364389,False,True,False,True
TZPKGQDKWPGOGH,SMADULGDNOCLOP,0.8068181818181818,0.7222222222222222,2.078648696033741,False,True,False,True
XZEQIKBQYLFCFP,LHCGWKJDICUCEG,0.8064516129032258,0.7716535433070866,2.0245247598709293,False,True,False,False
YBRYCMKAKUNWFO,UXUIFFMVADUAON,0.8064516129032258,0.7,2.351216345339342,False,True,False,False
ZOAONFSVARXNNV,IUVPDHXLQQUGMB,0.8061224489795918,0.7910447761194029,2.008773924307505,False,True,False,False
BVUMJIRBLWLPNT,UDCDEKJNAMHBFH,0.8045977011494253,0.7666666666666667,2.484126156288321,False,True,False,True
YDUZIQDWBSFXRB,NVKZHLKRHQPQSA,0.8045977011494253,0.7967479674796748,2.439332693830263,False,True,False,False
GMZVAQJVBFWSIS,DXZLTZZZLYIHJG,0.8023255813953488,0.689922480620155,2.078331353608678,False,False,True,False
JHCOCDUNEWCPDJ,YAHQJIWNFQVWGH,0.8021978021978022,0.7622950819672131,2.123568332188808,False,True,False,False
LFPPSFVNBGNNPR,JLGGAYUHFPLCCK,0.8021978021978022,0.768,2.0205525035278376,False,True,False,False
NFPBHTVGQPXGFY,IUVPDHXLQQUGMB,0.8020833333333334,0.7923076923076923,2.3187587626244124,False,True,False,False
XCRYSDRGCKTKKK,RAVBZQAQTVGKIV,0.8,0.7364341085271318,2.127676363898374,False,True,False,True
MRNJWOMRYSTQPG,RAVBZQAQTVGKIV,0.8,0.7580645161290323,2.0157026044544404,False,True,False,True
JHCOCDUNEWCPDJ,DVCKJOQIVOGXEI,0.8,0.7851239669421488,2.718734615568869,False,True,False,True
DVCKJOQIVOGXEI,QYUCTVIPCCLAIZ,0.8,0.7868852459016393,2.785156151952302,False,True,False,True
LIWXHHMEQAPAGZ,WDRJLORLDTWTEV,0.8,0.7795275590551181,3.044793462458058,False,True,False,False
SIQFSMORDDWOQU,CSIRJPXUQDSYOW,0.8,0.7603305785123967,2.480725378988488,False,True,False,False
HDOICFJGKOAPSD,CFDNEUFZAVYAPY,0.8,0.7936507936507936,2.005180512503781,False,True,False,False
